#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
477;;;"Se o emitente da DPS for ME/EPP (opSimpNac = 3), apurando o ISSQN pelo Simples Nacional (regApTribSN = 1) e o munic°pio de incidància do ISSQN est† ""Ativo"" no Sistema Nacional NFS-e, ent∆o n∆o Ç permitido informar benef°cio municipal, ou seja, (nBM = nulo).

Obs: Exceto quando o c¢digo de tributaá∆o nacional corresponder aos subitens 07.02 e 07.05 da lista de serviáos do sistema nacional NFS-e. Cen†rio em que o sistema verifica se h† parametrizaá∆o de BM para o emitente da DPS.";;Obrig.;Rej.;E0536;N∆o Ç permitido o preenchimento de informaá‰es relativas Ö benef°cio municipal para o prestador de serviáo ME/EPP, apurando pelo SN, conforme parametrizaá∆o do c¢digo de serviáo admnistrado pelo municipio de incidància do ISSQN.;3;V;X;V;X;-;;;
478;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;nBM;O c¢digo de identificaá∆o do Benef°cio Municipal n∆o existente para municipio de incidància do ISSQN.;;Obrig.;Rej.;E0541;N∆o existe o c¢digo de identificaá∆o do benef°cio municipal informado na DPS para o municip°o de incidància do ISSQN.;3;V;X;X;X;-;;;
479;;;O c¢digo de identificaá∆o de Benef°cio Municipal do municip°o de incidància do ISSQN n∆o est† vigente na data de competància informada na DPS.;;Obrig.;Rej.;E0544;Per°odo de vigància expirado para o c¢digo de identificaá∆o do Benef°cio Municipal no municip°o de incidància do ISSQN para a data de competància informada na DPS.;3;V;X;X;X;-;;;
480;;;O c¢digo de indentificaá∆o de Benef°cio Municipal informado na DPS Ç restrita Ö prestadores de serviáo estabelecidos no munic°pio de incidància do ISSQN.;;Obrig.;Rej.;E0548;O Benef°cio Municipal informado na DPS n∆o permite benef°cio para prestadores de serviáo que n∆o estejam estabelecidos no munic°pio de incidància do ISSQN.;3;V;X;X;X;-;;;
481;;;O c¢digo de indentificaá∆o de Benef°cio Municipal, informada na DPS, n∆o permite benef°cio para o c¢digo de tributaá∆o e/ou prestador (CPF ou CNPJ) informado na DPS, conforme parametrizaá∆o do munic°pio de incidància do ISSQN.;;Obrig.;Rej.;E0550;O c¢digo de identificaá∆o de Benef°cio Municipal, informada na DPS, n∆o permite benef°cio para o c¢digo de tributaá∆o e/ou prestador (CPF ou CNPJ) informado na DPS, conforme parametrizaá∆o do munic°pio de incidància do ISSQN.;3;V;X;X;X;-;;;
482;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;vRedBCBM;Somente Ç permitido informar vRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por Valor Monet†rio.;;Obrig.;Rej.;E0565;N∆o Ç permitido informar um valor monet†rio de reduá∆o de base de c†lculo do ISSQN por benef°cio municipal, se o c¢digo de identificaá∆o do Benef°cio Municipal n∆o corresponder ao tipo de reduá∆o por valor monet†rio.;3;V;X;X;X;-;;;
483;;;ê obrigat¢rio informar vRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por Valor Monet†rio.;;Obrig.;Rej.;E0567;ê obrigat¢rio informar vRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por Valor Monet†rio.;3;V;X;X;X;-;;;
484;;;O valor monet†rio do benef°cio municipal informado na DPS n∆o pode ser superior ao valor do preáo serviáo.;;Obrig.;Rej.;E0574;O valor monet†rio do benef°cio municipal informado na DPS n∆o pode ser superior ao valor do serviáo.;3;V;X;X;X;-;;;
485;;;"O valor monet†rio do benef°cio municipal informado na DPS n∆o pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos serviáos:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0575;O valor monet†rio do benef°cio municipal informado na DPS n∆o pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviáos nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, n∆o Ç considerado para a reduá∆o do valor da BC de forma que resulte para valor do ISSQN a uma al°quota efetiva menor que 2%. (desconsiderar vCalcReepRepRes e vDescIncond);;;
486;NFSe/infNFSe/DPS/valores/trib/tribMun/BM/;pRedBCBM;Somente Ç permitido informar pRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por percentual.;;Obrig.;Rej.;E0577;N∆o Ç permitido informar um valor percentual de reduá∆o de base de c†lculo do ISSQN por benef°cio municipal, se o c¢digo de identificaá∆o do Benef°cio Municipal n∆o corresponder ao tipo de reduá∆o por valor percentual.;3;V;X;X;X;-;;;
487;;;ê obrigat¢rio informar pRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por percentual.;;Obrig.;Rej.;E0579;ê obrigat¢rio informar pRedBCBM quando o c¢digo de identificaá∆o do Benef°cio Municipal (nBM) for um benef°cio do tipo Reduá∆o de Base de C†lculo por percentual.;3;V;X;X;X;-;;;
488;;;O valor percentual para reduá∆o da base de c†lculo deve ser maior que 0 e menor ou igual ao percentual parametrizado pelo munic°pio de incidància do ISSQN.;;Obrig.;Rej.;E0586;O valor percentual para reduá∆o da base de c†lculo deve ser maior que 0 e menor ou igual ao percentual parametrizado pelo munic°pio de incidància do ISSQN.;3;V;X;X;X;-;;;
489;;;"O valor percentual do benef°cio municipal informado na DPS n∆o pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos serviáos:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E0587;O valor percentual do benef°cio municipal informado na DPS n∆o pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviáos nacional do Sistema Nacional NFS-e.;2;V;X;X;X;O valor do desconto incondicionado, se informado na DPS, n∆o Ç considerado para a reduá∆o do valor da BC de forma que resulte para valor do ISSQN a uma al°quota efetiva menor que 2%.;;;
490;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/; tpRetISSQN;"N∆o Ç permitido haver retená∆o do ISSQN (tpRetISSQN = 2 ou 3) quando o serviáo prestado for imune, exportaá∆o de serviáo ou n∆o incidància do ISSQN sobre o serviáo prestado, ou seja, o campo tpRetISSQ = 1 quando o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""2 - Imunidade, ""3 - Exportaá∆o de Serviáo"" ou ""4 - N∆o Incidància"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0580;N∆o Ç permitido haver retená∆o quando o campo referente Ö tributaá∆o do ISSQN indicar imunidade, exportaá∆o ou n∆o incidància.;2;V;X;V;X;-;;;
491;;;Se o prestador do serviáo tiver opá∆o perante o Simples Nacional MEI (opSimpNac = 2) na data de competància informada na DPS, ent∆o n∆o Ç permitido ocorrer retená∆o do ISSQN (tpRetISSQN igual a 2 ou 3), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).;;Obrig.;Rej.;E0583;N∆o Ç permitido retená∆o do ISSQN para o prestador do serviáo que seja MEI na data de competància informada na DPS.;2;V;X;X;X;-;;;
492;;;Se o prestador do serviáo tiver um regime especial de tributaá∆o (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9) na data de competància informada na DPS, ent∆o n∆o Ç permitido ocorrer retená∆o do ISSQN (tpRetISSQN igual a 2 ou 3), ou seja, tpRetISSQN tem que ser igual a 1 (tpRetISSQN = 1).;;Obrig.;Rej.;E0588;N∆o Ç permitido retená∆o do ISSQN para o prestador do serviáo que tenha algum regime especial de tributaá∆o na data de competància informada na DPS.;2;V;X;V;X;-;;;
493;;;"Quando o benef°cio municipal informado na DPS for do tipo ""Isená∆o"", n∆o poder† ocorrer retená∆o do ISSQN 
(tpRetISSQN igual a 2 ou 3) ou seja, tpRetISSQN tem que ser igual a 1.";;Obrig.;Rej.;E0594;N∆o Ç permitido retená∆o do ISSQN quando houver Benef°cio Municipal do tipo Isená∆o.;2;V;X;V;X;-;;;
494;;;Quando o codigo de tributaá∆o nacional corresponder ao subitem 220101 da lista de serviáos do Sistema Nacional NFS-e, n∆o poder† ocorrer retená∆o do ISSQN (tpRetISSQN igual a 2 ou 3) ou seja, tpRetISSQN tem que ser igual a 1.;;Obrig.;Rej.;E0596;N∆o Ç permitido retená∆o do ISSQN quando o serviáo prestado corresponder ao subitem 220101 - Serviáo de exploraá∆o de rodovia da lista de serviáos do Sistema Nacional NFS-e.;2;V;X;V;X;-;;;
495;;;"Se o emitente da DPS for o tomador de serviáo (tpEmit = 2) e o prestador for identificado por NIF ou, 
na falta do NIF informado, o endereáo for no exterior e local da prestaá∆o no territ¢rio brasileiro 
(cLocPrestacao Ç preenchido), ent∆o a retená∆o do imposto devido deve ser realizada obrigatoriamente 
pelo tomador (tpRetISSQN = 2).";;Obrig.;Rej.;E0650;Em caso de importaá∆o de serviáo pelo tomador, o ISSQN deve ser retido pelo tomador.;2;V;X;V;X;-;;;
496;;;"Se o emitente da DPS for o intermedi†rio de serviáo (tpEmit = 3) e o prestador for identificado por NIF ou, 
na falta do NIF informado, o endereáo for no exterior e local da prestaá∆o no territ¢rio brasileiro 
(cLocPrestacao Ç preenchido), ent∆o a retená∆o do imposto devido deve ser realizada obrigatoriamente 
pelo tomador (tpRetISSQN = 3).";;Obrig.;Rej.;E0652;Em caso de importaá∆o de serviáo pelo intermedi†rio, o ISSQN deve ser retido pelo intermedi†rio.;2;V;X;V;X;-;;;
497;;;Verificar se o CPF informado como tomador na DPS (NFSe/infNFSe/DPS/infDPS/toma/CPF) est† previamente cadastrado para retená∆o do ISSQN na parametrizaá∆o do munic°pio de incidància do imposto.;;Obrig.;Rej.;E0667;Munic°pio da incidància do ISSQN n∆o autoriza que o CPF do tomador informado na DPS seja indicado para retená∆o deste imposto.;3;V;X;X;X;-;;;
498;;;Verificar se o CPF informado como intermedi†rio na DPS (NFSe/infNFSe/DPS/infDPS/interm/CPF) est† previamente cadastrado para retená∆o na parametrizaá∆o do munic°pio de incidància do imposto.;;Obrig.;Rej.;E0670;Munic°pio da incidància do ISSQN n∆o autoriza que o CPF do intermedi†rio informado na DPS seja indicado para retená∆o deste imposto.;3;V;X;X;X;-;;;
499;;;Se o tomador emitente da DPS (tpEmit = 2) for estabelecido em munic°pio diferente do munic°pio de incidància do ISSQN, ent∆o n∆o pode haver retená∆o (tpRetISSQN deve ser igual a 1).;;Obrig.;Rej.;E0672;N∆o pode haver retená∆o do ISSQN se e o tomador for o emitente da DPS e estiver estabelecido em munic°pio diferente do munic°pio de incidància do ISSQN.;2;V;X;V;X;-;;;
500;;;Se o intermedi†rio emitente da DPS (tpEmit = 3) for estabelecido em munic°pio diferente do munic°pio de incidància do ISSQN, ent∆o n∆o pode haver retená∆o (tpRetISSQN deve ser igual a 1).;;Obrig.;Rej.;E0673;N∆o pode haver retená∆o do ISSQN se e o intermedi†rio for o emitente da DPS e estiver estabelecido em munic°pio diferente do munic°pio de incidància do ISSQN.;2;V;X;V;X;-;;;
501;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;pAliq;N∆o Ç permitido informar al°quota superior a 5%.;;Obrig.;Rej.;E0595;N∆o Ç permitido informar al°quota superior a 5%.;2;V;X;V;X;-;;;
502;;;N∆o Ç permitido informar al°quota quando o prestador Ç optante do simples nacional do tipo MEI (opSimpNac = 2).;;Obrig.;Rej.;E0600;N∆o Ç permitido informar a al°quota para prestador de serviáo optante do simples nacional do tipo MEI.;2;V;X;V;X;-;;;
503;;;"N∆o Ç permitido informar al°quota quando o serviáo prestado for imune, exportaá∆o de serviáo ou n∆o incidància do ISSQN sobre o serviáo prestado, ou seja, o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""2 - Imunidade, ""3 - Exportaá∆o de Serviáo"" ou ""4 - N∆o Incidància"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0602;N∆o Ç permitido informar al°quota quando o campo referente Ö tributaá∆o do ISSQN indicar imunidade, exportaá∆o ou n∆o incidància.;2;V;X;V;X;-;;;
504;;;N∆o Ç permitido informar al°quota quando o prestador de serviáo tiver um regime especial de tributaá∆o, ou seja, o campo que indica o regime especial de tributaá∆o Ç diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).;;Obrig.;Rej.;E0604;N∆o Ç permitido informar al°quota quando o prestador de serviáo possui algum regime especial de tributaá∆o.;2;V;X;V;X;-;;;
505;;;"N∆o Ç permitido informar al°quota quando o benef°cio municipal for informado na DPS for do tipo ""Isená∆o"" ou ""Al°quota Diferenciada"".";;Obrig.;Rej.;E0612;"N∆o Ç permitido informar al°quota quando o benef°cio municipal informado na DPS for do tipo ""Isená∆o"" ou ""Al°quota Diferenciada"".";3;V;X;X;X;-;;;
506;;;"N∆o Ç permitido o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) o prestador de serviáo seja n∆o optante do Simples Nacional (opSimpNac = 1) 
na data de competància informada na DPS, e
2) o convànio do munic°pio de incidància do ISSQN est† ativo na data de competància informada na DPS;";;Obrig.;Rej.;E0617;"N∆o Ç permitido informar al°quota quando o prestador de serviáo n∆o Ç optante do simples nacional (opSimpNac = 1) na data de competància informada na DPS, com o munic°pio de incidància do ISSQN com situaá∆o ""ATIVO"" no Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
507;;;"ê obrigat¢rio o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) o prestador de serviáo seja n∆o optante do Simples Nacional (opSimpNac = 1) 
na data de competància informada na DPS, e
2) o convànio do munic°pio de incidància do ISSQN n∆o est† ""Ativo"" na data de competància informada na DPS, e
3) nenhum regime especial de tributaá∆o para o prestador de serviáo (regEspTrib = 0);";;Obrig.;Rej.;E0619;"ê obrigat¢rio informar al°quota quando o prestador de serviáo n∆o Ç optante do simples nacional (opSimpNac = 1) na data de competància informada na DPS, o munic°pio de incidància do ISSQN n∆o est† com situaá∆o ""ATIVO"" no Sistema Nacional NFS-e e n∆o haja algum regime especial de tributaáao para o prestador.";3;V;X;X;X;-;;;
508;;;"ê obrigatorio o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) O prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància de emiss∆o da DPS e; 
2) a apuraá∆o do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convànio do munic°pio de incidància do ISSQN est† ""Ativo"" na data de competància informada na DPS, 
4) n∆o haja benef°cio municipal ou, se houver, seja diferente de ""Isená∆o"" e ""Al°quota diferenciada"", e
5) haja retená∆o do ISSQN (tpRetISSQN = 2 ou 3);

Obs: neste cen†rio, o percentual da al°quota m°nima informada permitida Ç 1,8%.";;Obrig.;Rej.;E0621;ê obrigat¢rio informar al°quota quando h† indicaá∆o de retená∆o do ISSQN (tpRetISSQN = 2 ou 3) para o prestador de serviáo ME/EPP (opSimpNac = 3) na data de competància informada na DPS, com apuraá∆o do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benef°cio municipal ou, se houver, seja diferente de isená∆o ou al°quota diferenciada, cujo munic°pio de incidància esteja Ativo no Sistema Nacional NFS-e. Obs: neste cen†rio, o percentual da al°quota m°nima informada permitida Ç 1,8%.;3;V;X;X;X;-;;;
509;;;"N∆o Ç permitido o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) O prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància de emiss∆o da DPS e; 
2) a apuraá∆o do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convànio do munic°pio de incidància do ISSQN est† ""Ativo"" na data de competància informada na DPS, 
4) n∆o haja benef°cio municipal ou, se houver, seja diferente de ""Isená∆o"" e ""Al°quota diferenciada"", e
5) n∆o haja retená∆o do ISSQN (tpRetISSQN = 1);";;Obrig.;Rej.;E0625;N∆o Ç permitido informar al°quota quando n∆o h† indicaá∆o de retená∆o do ISSQN (tpRetISSQN = 1) para o prestador de serviáo ME/EPP (opSimpNac = 3) na data de competància informada na DPS, com apuraá∆o do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benef°cio municipal ou, se houver, seja diferente de isená∆o ou al°quota diferenciada, cujo munic°pio de incidància esteja Ativo no Sistema Nacional NFS-e.;3;V;X;X;X;-;;;
510;;;"ê obrigat¢rio o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) O prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància de emiss∆o da DPS e; 
2) a apuraá∆o do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convànio do munic°pio de incidància do ISSQN n∆o est† ""Ativo"" na data de competància informada na DPS, e
4) haja retená∆o do ISSQN (tpRetISSQN = 2 ou 3);

Obs: neste cen†rio, o percentual da al°quota m°nima informada permitida Ç 1,8%.";;Obrig.;Rej.;E0628;ê obrigat¢rio informar al°quota quando o munic°pio de incidància do ISSQN n∆o est† Ativo no Sistema Nacional NFS-e, para o prestador de serviáo ME/EPP (opSimpNac = 3) na data de competància informada na DPS, com apuraá∆o do ISSQN pelo simples nacional (regApTribISSQN = 1), com retená∆o do ISSQN (tpRetISSQN = 2 ou 3). Obs: neste cen†rio, o percentual da al°quota m°nima informada permitida Ç 1,8%.;3;V;X;X;X;-;;;
511;;;"N∆o Ç permitido o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) O prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància de emiss∆o da DPS e; 
2) a apuraá∆o do ISSQN seja pelo SN (regApTribSN = 1) e;
3) o convànio do munic°pio de incidància do ISSQN n∆o est† ""Ativo"" na data de competància informada na DPS, e
4) n∆o haja retená∆o do ISSQN (tpRetISSQN = 1);";;Obrig.;Rej.;E0631;N∆o Ç permitido informar al°quota quando o munic°pio de incidància do ISSQN n∆o est† Ativo no Sistema Nacional NFS-e, para o prestador de serviáo ME/EPP (opSimpNac = 3) na data de competància informada na DPS, com apuraá∆o do ISSQN pelo simples nacional (regApTribISSQN = 1) sem retená∆o do ISSQN (tpRetISSQN = 1).;3;V;X;X;X;-;;;
512;;;"N∆o Ç permitido o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) o prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància informada na DPS, e
2) a apuraá∆o do ISSQN fora do Simples Nacional, ou seja, pela al°quota do munic°pio 
para o serviáo prestado (regApTribSN = 2 ou 3) e;
3) o convànio do munic°pio de incidància do ISSQN est† ativo na data de competància informada na DPS;";;Obrig.;Rej.;E0635;N∆o Ç permitido informar al°quota quando o convànio do munic°pio de incidància do ISSQN est† ativo na data de competància informada na DPS, para o prestador de serviáo ME/EPP (opSimpNac = 3) com a apuraá∆o do ISSQN fora do Simples Nacional, ou seja, pela al°quota do munic°pio para o serviáo prestado (regApTribSN = 2 ou 3).;3;V;X;X;X;-;;;
513;;;"ê obrigatorio o preenchimento do campo pAliq quando ocorrer as condiá‰es abaixo simultaneamente:

1) O prestador de serviáo seja optante do Simples Nacional ME/EPP (opSimpNac = 3) 
na data de competància de emiss∆o da DPS e; 
2) a apuraá∆o do ISSQN fora do Simples Nacional, ou seja, pela al°quota do munic°pio 
para o serviáo prestado (regApTribSN = 2 ou 3) e;
3) o convànio do munic°pio de incidància do ISSQN n∆o est† ""Ativo"" na data de competància informada na DPS.";;Obrig.;Rej.;E0640;"ê obrigat¢rio informar al°quota quando o prestador de serviáo ME/EPP (opSimpNac = 3) na data de competància informada na DPS, com apuraá∆o do ISSQN fora do Simples Nacional (regApTribISSQN = 2 ou 3), ou seja, pela al°quota do munic°pio para o serviáo prestado, cujo munic°pio de incidància n∆o esteja ""Ativo"" no Sistema Nacional NFS-e.";3;V;X;X;X;-;;;
514;NFSe/infNFSe/DPS/infDPS/valores/trib/;tribFed;N∆o Ç permitido o preenchimento das informaá‰es relativas aos tributos federais quando o emitente da DPS for identificado por uma pessoa f°sica (CPF).;;Obrig.;Obrig.;E0675;N∆o Ç permitido a prestaá∆o de informaá‰es relativas aos tributos federais quando o emitente da DPS for identificado por um pessoa f°sica (CPF).;1;V;X;V;X;-;;;
515;;;N∆o Ç permitido o preenchimento das informaá‰es relativas aos tributos federais quando o emitente for identificado como MEI na data de competància informada na DPS.;;Obrig.;Obrig.;E0676;N∆o Ç permitido o preenchimento das informaá‰es relativas aos tributos federais quando o emitente for identificado como MEI na data de competància informada na DPS.;1;V;X;X;X;-;;;
516;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;pisconfins;-;;-;-;-;-;-;-;-;-;-;-;;;
517;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;CST;-;;-;-;-;-;-;-;-;-;-;-;;;
518;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vBCPisCofins;O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviáo informado na DPS.;;Obrig.;Obrig.;E0677;O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviáo informado na DPS.;1;V;X;V;X;-;;;
519;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqPis;Se a al°quota do Pis (pAliqPis) for informada, ent∆o deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0686;A al°quota do Pis deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
520;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqCofins;Se a al°quota do Cofins (pAliqCofins) for informada, ent∆o deve ser igual ou maior que 0 e menor ou igual a 100%.;;Obrig.;Rej.;E0692;A al°quota do Cofins deve ser igual ou maior que 0 e menor ou igual a 100%.;1;V;X;V;X;-;;;
521;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vPis;Se o valor da al°quota do Pis (pAliqPis) for informado, ent∆o o valor do Pis informado na DPS deve ser igual ao valor da base de c†lculo do Pis/Cofins x al°quota do Pis, que foram informados na DPS.;;Obrig.;Rej.;E0694;O valor do Pis informado n∆o corresponde ao resultado da BC Pis/Cofins x Al°quota Pis, que foram informados na DPS.;1;V;X;V;X;-;;;
522;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vCofins;Se o valor da al°quota do Cofins (pAliqCofins) for informado, ent∆o o valor Cofins informado na DPS deve ser igual ao valor da base de c†lculo do Pis/Cofins x al°quota do Cofins , que foram informados na DPS.;;Obrig.;Rej.;E0696;O valor do Cofins informado n∆o corresponde ao resultado da BC Pis/Cofins x Al°quota Cofins, que foram informados na DPS.;1;V;X;V;X;-;;;
523;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/; tpRetPisCofins;-;;-;-;-;-;1;V;X;V;X;-;;;
524;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCP;Se o valor do tributo CP for informado, ent∆o deve ser maior que zero e menor que o valor do serviáo informado na DPS.;;Obrig.;Rej.;E0699;O valor do tributo CP deve ser maior que zero e menor que o valor do serviáo informado na DPS.;1;V;X;V;X;-;;;
525;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetIRRF;Se o valor do tributo IRRF for informado, ent∆o deve ser maior que zero e menor que o valor do serviáo informado na DPS.;;Obrig.;Rej.;E0700;O valor do tributo IRRF deve ser maior que zero e menor que o valor do serviáo informado na DPS.;1;V;X;V;X;-;;;
526;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCSLL;"Se o tipo de retená∆o do PIS/COFINS/CSLL for igual a ""0 - PIS/COFINS/CSLL N∆o Retidos"", ent∆o n∆o Ç permitido informar o campo vRetCSLL.";;Obrig.;Rej.;E0720;"Se o tipo de retená∆o do PIS/COFINS for igual a ""0 - PIS/COFINS/CSLL N∆o Retidos"", ent∆o n∆o Ç permitido informar o campo vRetCSLL.";1;V;X;V;V;-;;;
527;;;"Se o tipo de retená∆o do PIS/COFINS/CSLL for diferente de ""0 - PIS/COFINS/CSLL N∆o Retidos"" ou 
de ""2 - PIS/COFINS N∆o Retido"", ent∆o Ç obrigat¢rio informar o campo vRetCSLL.";;Obrig.;Rej.;E0724;"Se o tipo de retená∆o do PIS/COFINS for diferente de ""0 - PIS/COFINS/CSLL N∆o Retidos"" ou 
de ""2 - PIS/COFINS N∆o Retido"", ent∆o Ç obrigat¢rio informar o campo vRetCSLL.";1;V;X;V;V;-;;;
528;;;Se o valor de retená∆o do CSLL for informado, ent∆o deve ser maior que zero e menor que o valor do serviáo informado na DPS.;;Obrig.;Rej.;E0701;O valor do tributo CSLL deve ser maior que zero e menor que o valor do serviáo informado na DPS.;1;V;X;V;X;-;;;
529;NFSe/infNFSe/DPS/infDPS/valores/trib/;totTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
530;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib;vTotTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
531;NFSe/infNFSe/DPS/infDPS/valores/trib/totalTrib/vTotTrib;vTotTribFed;Se valor for informado, ent∆o deve ser igual ou maior que 0 e menor ou igual o valor do serviáo.;;Obrig.;Rej.;E0702;Se o valor for informado, ent∆o deve ser igual ou maior que 0 e menor ou igual o valor do serviáo.;1;V;X;V;X;-;;;
